"county_i","county_j","flow","Dist-ph","resdist","empldist"
17,16,332975,380,"48877.46",0
17,17,417954,381,"48877.46","48877.46"
17,18,10776,382,"48877.46","39163.93"
17,19,59711,383,"48877.46","46973.45"
17,20,22,384,"48877.46","243787.8"
17,21,3039,385,"48877.46",153352
17,22,11984,386,"48877.46","105186.3"
17,23,3209,387,"48877.46","306569.5"
18,1,0,388,"39163.93","356365.4"
18,2,18,389,"39163.93","272892.8"
18,3,28,390,"39163.93",238833
18,4,148,391,"39163.93","196036.8"
18,5,316,392,"39163.93","162334.7"
18,6,475,393,"39163.93","174899.8"
18,7,571,394,"39163.93","104210.2"
18,8,519,395,"39163.93","130580.4"
18,9,152,396,"39163.93","327006.1"
18,10,1095,397,"39163.93","77670.95"
18,11,68,398,"39163.93","202339.4"
18,12,2049,399,"39163.93","88204.77"
18,13,4186,400,"39163.93","73216.05"
18,14,2428,401,"39163.93","33011.23"
18,15,996,402,"39163.93","137902.3"
18,16,156469,403,"39163.93",0
18,17,16728,404,"39163.93","48877.46"
18,18,165382,405,"39163.93","39163.93"
18,19,17097,406,"39163.93","46973.45"
18,20,100,407,"39163.93","243787.8"
18,21,28017,408,"39163.93",153352
18,22,3266,409,"39163.93","105186.3"
18,23,679,410,"39163.93","306569.5"
19,1,15,411,"46973.45","356365.4"
19,2,8,412,"46973.45","272892.8"
19,3,8,413,"46973.45",238833
19,4,264,414,"46973.45","196036.8"
19,5,590,415,"46973.45","162334.7"
19,6,1114,416,"46973.45","174899.8"
19,7,765,417,"46973.45","104210.2"
19,8,658,418,"46973.45","130580.4"
19,9,44,419,"46973.45","327006.1"
19,10,1848,420,"46973.45","77670.95"
19,11,242,421,"46973.45","202339.4"
19,12,5002,422,"46973.45","88204.77"
19,13,4006,423,"46973.45","73216.05"
19,14,3973,424,"46973.45","33011.23"
19,15,562,425,"46973.45","137902.3"
19,16,338710,426,"46973.45",0
19,17,83772,427,"46973.45","48877.46"
19,18,17420,428,"46973.45","39163.93"
19,19,357681,429,"46973.45","46973.45"
19,20,120,430,"46973.45","243787.8"
19,21,5871,431,"46973.45",153352
19,22,62232,432,"46973.45","105186.3"
19,23,10422,433,"46973.45","306569.5"
20,3,0,434,"243787.8",238833
20,5,54,435,"243787.8","162334.7"
20,6,24,436,"243787.8","174899.8"
20,7,20,437,"243787.8","104210.2"
20,8,4,438,"243787.8","130580.4"
20,10,50,439,"243787.8","77670.95"
20,11,4,440,"243787.8","202339.4"
20,12,12,441,"243787.8","88204.77"
20,13,136,442,"243787.8","73216.05"
20,14,22,443,"243787.8","33011.23"
20,15,373,444,"243787.8","137902.3"
20,16,4131,445,"243787.8",0
20,17,325,446,"243787.8","48877.46"
20,18,1908,447,"243787.8","39163.93"
20,19,512,448,"243787.8","46973.45"
20,20,13639,449,"243787.8","243787.8"
20,21,19483,450,"243787.8",153352
20,22,146,451,"243787.8","105186.3"
20,23,46,452,"243787.8","306569.5"
21,1,0,453,153352,"356365.4"
21,2,8,454,153352,"272892.8"
21,3,8,455,153352,238833
21,4,92,456,153352,"196036.8"
21,5,336,457,153352,"162334.7"
21,6,205,458,153352,"174899.8"
21,7,273,459,153352,"104210.2"
21,8,360,460,153352,"130580.4"
21,9,0,461,153352,"327006.1"
21,10,547,462,153352,"77670.95"
21,11,38,463,153352,"202339.4"
21,12,412,464,153352,"88204.77"
21,13,3018,465,153352,"73216.05"
21,14,1005,466,153352,"33011.23"
21,15,3336,467,153352,"137902.3"
21,16,76673,468,153352,0
21,17,4313,469,153352,"48877.46"
21,18,25750,470,153352,"39163.93"
21,19,5525,471,153352,"46973.45"
21,20,2317,472,153352,"243787.8"
21,21,261586,473,153352,153352
21,22,1892,474,153352,"105186.3"
21,23,451,475,153352,"306569.5"
22,1,0,476,"105186.3","356365.4"
22,2,4,477,"105186.3","272892.8"
22,3,4,478,"105186.3",238833
22,4,63,479,"105186.3","196036.8"
22,5,214,480,"105186.3","162334.7"
22,6,324,481,"105186.3","174899.8"
22,7,182,482,"105186.3","104210.2"
22,8,179,483,"105186.3","130580.4"
22,9,0,484,"105186.3","327006.1"
22,10,388,485,"105186.3","77670.95"
22,11,74,486,"105186.3","202339.4"
22,12,1259,487,"105186.3","88204.77"
22,13,1257,488,"105186.3","73216.05"
22,14,1571,489,"105186.3","33011.23"
22,15,190,490,"105186.3","137902.3"
22,16,92031,491,"105186.3",0
22,17,28361,492,"105186.3","48877.46"
22,18,5867,493,"105186.3","39163.93"
22,19,63386,494,"105186.3","46973.45"
22,20,53,495,"105186.3","243787.8"
22,21,2787,496,"105186.3",153352
22,22,352400,497,"105186.3","105186.3"
22,23,47659,498,"105186.3","306569.5"
23,1,0,499,"306569.5","356365.4"
23,2,4,500,"306569.5","272892.8"
23,3,28,501,"306569.5",238833
23,4,74,502,"306569.5","196036.8"
23,5,130,503,"306569.5","162334.7"
23,6,130,504,"306569.5","174899.8"
23,7,158,505,"306569.5","104210.2"
23,8,88,506,"306569.5","130580.4"
23,9,22,507,"306569.5","327006.1"
23,10,317,508,"306569.5","77670.95"
23,11,76,509,"306569.5","202339.4"
23,12,461,510,"306569.5","88204.77"
23,13,511,511,"306569.5","73216.05"
23,14,589,512,"306569.5","33011.23"
23,15,60,513,"306569.5","137902.3"
23,16,38971,514,"306569.5",0
23,17,9826,515,"306569.5","48877.46"
23,18,2401,516,"306569.5","39163.93"
23,19,23668,517,"306569.5","46973.45"
23,20,26,518,"306569.5","243787.8"
23,21,1136,519,"306569.5",153352
23,22,85881,520,"306569.5","105186.3"
23,23,481621,521,"306569.5","306569.5"
